id,yearly_income,total_spent,spending_ratio,spending_rank
1942,1,4974.87,497487,1
1348,2,8196.22,409811,2
1202,4,12377.34,309433.5,3
1364,3,6206.73,206891,4
1649,399,7746.47,1941.47,5
1985,1426,23212.54,1627.81,6
1998,645,6501.39,1007.97,7
1016,553,4634.77,838.11,8
1151,920,6661.08,724.03,9
1463,9766,60076.02,615.15,10
1451,17078,102864.05,602.32,11
490,33426,181163.16,541.98,12
1198,10869,58235,535.79,13
1403,24545,131382.72,535.27,14
488,32126,161835.45,503.75,15
90,12796,63904.73,499.41,16
1039,11566,55085.15,476.27,17
1077,12044,57236.47,475.23,18
1528,27992,130508.03,466.23,19
285,34496,160707.98,465.87,20
98,16646,74211.7,445.82,21
1098,34456,144277.18,418.73,22
1340,53872,217933.11,404.54,23
1797,30962,120936.31,390.6,24
665,11613,45059.39,388.01,25
1963,33869,130511.66,385.34,26
630,39521,152184.36,385.07,27
1530,1785,6447.37,361.2,28
1686,61312,219931.93,358.71,29
1117,27691,99128.81,357.98,30
408,31343,110039.78,351.08,31
1105,22104,76441.17,345.83,32
1937,17056,58688.61,344.09,33
1888,41513,142671.8,343.68,34
17,21867,74030.04,338.55,35
1345,16620,52063.78,313.26,36
1052,28210,86348.02,306.09,37
773,11029,33079.97,299.94,38
464,67444,192050.79,284.76,39
1776,43133,120398.07,279.13,40
1551,35699,99583.71,278.95,41
1916,10142,28246.43,278.51,42
511,35602,98546.9,276.8,43
638,16889,46592,275.87,44
1885,37056,101832.37,274.81,45
1696,53702,146899.04,273.54,46
847,27864,75346.21,270.41,47
1295,27772,74534.82,268.38,48
810,22540,60432.65,268.11,49
112,35114,93716.42,266.89,50
598,43144,114936.89,266.4,51
1357,11410,30264.99,265.25,52
114,34441,90626.77,263.14,53
1083,38568,100119.69,259.59,54
96,99825,257315.09,257.77,55
1066,54124,139172.48,257.14,56
1654,49328,126668.97,256.79,57
1720,24827,63738.11,256.73,58
1651,56018,141760.31,253.06,59
779,32669,81499,249.47,60
1920,31244,77833.9,249.12,61
127,31553,78547.47,248.94,62
1258,15470,38423.6,248.37,63
52,63796,157995.43,247.66,64
190,44452,109926.78,247.29,65
1575,57646,142460.68,247.13,66
42,8526,20928.07,245.46,67
1659,40787,99787.08,244.65,68
1595,52063,127027.36,243.99,69
1908,44469,108029.64,242.93,70
137,41069,99213.87,241.58,71
954,37963,91077,239.91,72
1018,31805,75836.05,238.44,73
1115,30198,71675.85,237.35,74
1741,24960,58584.25,234.71,75
1425,19225,45068.2,234.42,76
984,32928,76403.79,232.03,77
1241,49396,114514.19,231.83,78
840,88432,204600.08,231.36,79
1116,42509,98288.07,231.22,80
1504,12826,29624.79,230.97,81
814,16302,37471.6,229.86,82
1718,33483,76657.35,228.94,83
1456,31231,71296.66,228.29,84
961,26660,60506.31,226.96,85
1596,31772,71999.36,226.61,86
1873,34302,77284.14,225.31,87
557,28245,63510.7,224.86,88
1992,23725,52319.96,220.53,89
1407,40473,89118.48,220.19,90
737,30359,66528.88,219.14,91
1802,59313,129863.12,218.95,92
1155,29494,63819.8,216.38,93
1144,30495,65400.38,214.46,94
947,34637,74037.03,213.75,95
550,30248,64478.9,213.17,96
1538,23572,50190.92,212.93,97
303,60080,127476.72,212.18,98
1382,25883,54776.08,211.63,99
1381,29517,62381.38,211.34,100
