id,income,debt,dti_ratio
926,41403,206131,497.86
1091,53890,252106,467.82
1751,61581,241312,391.86
1319,48582,189348,389.75
1684,27861,108313,388.76
1088,34982,134631,384.86
1655,34856,127313,365.25
1005,39485,144101,364.95
920,28704,103891,361.94
74,41957,151027,359.96
1895,40848,146608,358.91
1546,40336,144284,357.71
181,51024,181184,355.1
125,26535,93592,352.71
1496,48747,171249,351.3
1355,23863,83430,349.62
1541,37422,127116,339.68
693,65051,220951,339.66
1730,44128,148684,336.94
1172,29994,100834,336.18
1608,39556,132573,335.15
1442,30432,101847,334.67
459,25257,83995,332.56
308,31015,103094,332.4
1761,56168,186534,332.1
1044,45649,150985,330.75
470,28553,94214,329.96
1714,73011,240352,329.2
1017,28703,94364,328.76
577,33106,108695,328.32
749,24574,80667,328.26
239,42201,138469,328.12
403,36496,119670,327.9
1667,48491,158871,327.63
1760,36081,118151,327.46
1399,40314,131348,325.81
315,42379,136748,322.68
1650,44128,142368,322.63
302,37384,120327,321.87
1911,33793,108196,320.17
1366,40000,127951,319.88
688,47227,151030,319.8
443,41986,134162,319.54
417,21879,69638,318.29
845,36710,116794,318.15
1901,33728,107287,318.09
1099,41214,130538,316.73
1762,63583,200435,315.23
138,32770,103262,315.11
1628,63439,199706,314.8
1637,54804,172493,314.75
212,28137,88482,314.47
1725,42652,133935,314.02
1513,65736,206000,313.37
1709,35519,111115,312.83
1630,31693,98206,309.87
1839,27439,84665,308.56
1020,54122,166903,308.38
1633,42927,132343,308.3
1203,41537,128044,308.26
860,62791,193215,307.71
724,35142,107898,307.03
175,54091,165960,306.82
561,36853,112139,304.29
1257,48259,146774,304.14
54,44160,134173,303.83
995,101679,307856,302.77
772,46075,139335,302.41
26,41071,124139,302.25
1700,38666,116783,302.03
144,32330,97190,300.62
200,36528,109785,300.55
1912,44976,134335,298.68
1290,66428,197102,296.72
1447,68741,203172,295.56
358,31079,91845,295.52
487,55059,162462,295.07
1137,33465,98713,294.97
1054,46077,135862,294.86
2,27447,80850,294.57
1669,51454,151162,293.78
1727,48762,143208,293.69
146,68710,201796,293.69
229,59248,173887,293.49
1949,44444,130382,293.36
148,38681,113190,292.62
1634,20577,60152,292.33
1109,43875,128146,292.07
184,43529,126175,289.86
134,50174,145300,289.59
733,53138,153374,288.63
536,31077,89659,288.51
1738,68784,198417,288.46
812,41469,119423,287.98
888,33566,96597,287.78
1625,101191,290730,287.31
1271,48398,138998,287.2
171,49577,142314,287.06
856,114318,328089,287
1012,32855,94228,286.8
